aawiki	aa
abwiki	ab
acewiki	ace
adywiki	ady
afwiki	af
akwiki	ak
alswiki	gsw
altwiki	alt
amiwiki	ami
amwiki	am
angwiki	ang
annwiki	ann
anpwiki	anp
anwiki	an
arcwiki	arc
arwiki	ar
arywiki	ary
arzwiki	arz
astwiki	ast
aswiki	as
atjwiki	atj
avkwiki	avk
avwiki	av
awawiki	awa
aywiki	ay
azbwiki	azb
azwiki	az
banwiki	ban
barwiki	bar
bat_smgwiki	sgs
bawiki	ba
bbcwiki	bbc
bclwiki	bcl
bdrwiki	bdr
be_x_oldwiki	be-tarask
bewiki	be
bewwiki	bew
bgwiki	bg
bhwiki	bh
biwiki	bi
bjnwiki	bjn
blkwiki	blk
bmwiki	bm
bnwiki	bn
bowiki	bo
bpywiki	bpy
brwiki	br
bswiki	bs
btmwiki	btm
bugwiki	bug
bxrwiki	bxr
cawiki	ca
cbk_zamwiki	cbk-zam
cdowiki	cdo
cebwiki	ceb
cewiki	ce
chowiki	cho
chrwiki	chr
chwiki	ch
chywiki	chy
ckbwiki	ckb
cowiki	co
crhwiki	crh
crwiki	cr
csbwiki	csb
cswiki	cs
cuwiki	cu
cvwiki	cv
cywiki	cy
dagwiki	dag
dawiki	da
dewiki	de
dgawiki	dga
dinwiki	din
diqwiki	diq
dsbwiki	dsb
dtpwiki	dtp
dtywiki	dty
dvwiki	dv
dzwiki	dz
eewiki	ee
elwiki	el
emlwiki	eml
enwiki	en
eowiki	eo
eswiki	es
etwiki	et
euwiki	eu
extwiki	ext
fatwiki	fat
fawiki	fa
ffwiki	ff
fiu_vrowiki	vro
fiwiki	fi
fjwiki	fj
fonwiki	fon
fowiki	fo
frpwiki	frp
frrwiki	frr
frwiki	fr
furwiki	fur
fywiki	fy
gagwiki	gag
ganwiki	gan
gawiki	ga
gcrwiki	gcr
gdwiki	gd
glkwiki	glk
glwiki	gl
gnwiki	gn
gomwiki	gom
gorwiki	gor
gotwiki	got
gpewiki	gpe
gucwiki	guc
gurwiki	gur
guwiki	gu
guwwiki	guw
gvwiki	gv
hakwiki	hak
hawiki	ha
hawwiki	haw
hewiki	he
hifwiki	hif
hiwiki	hi
howiki	ho
hrwiki	hr
hsbwiki	hsb
htwiki	ht
huwiki	hu
hywiki	hy
hywwiki	hyw
hzwiki	hz
iawiki	ia
ibawiki	iba
idwiki	id
iewiki	ie
iglwiki	igl
igwiki	ig
iiwiki	ii
ikwiki	ik
ilowiki	ilo
inhwiki	inh
iowiki	io
iswiki	is
itwiki	it
iuwiki	iu
jamwiki	jam
jawiki	ja
jbowiki	jbo
jvwiki	jv
kaawiki	kaa
kabwiki	kab
kawiki	ka
kbdwiki	kbd
kbpwiki	kbp
kcgwiki	kcg
kgewiki	kge
kgwiki	kg
kiwiki	ki
kjwiki	kj
kkwiki	kk
klwiki	kl
kmwiki	km
kncwiki	knc
knwiki	kn
koiwiki	koi
kowiki	ko
krcwiki	krc
krwiki	kr
kshwiki	ksh
kswiki	ks
kuswiki	kus
kuwiki	ku
kvwiki	kv
kwwiki	kw
kywiki	ky
ladwiki	lad
lawiki	la
lbewiki	lbe
lbwiki	lb
lezwiki	lez
lfnwiki	lfn
lgwiki	lg
lijwiki	lij
liwiki	li
lldwiki	lld
lmowiki	lmo
lnwiki	ln
lowiki	lo
lrcwiki	lrc
ltgwiki	ltg
ltwiki	lt
lvwiki	lv
madwiki	mad
maiwiki	mai
map_bmswiki	map-bms
mdfwiki	mdf
mgwiki	mg
mhrwiki	mhr
mhwiki	mh
minwiki	min
miwiki	mi
mkwiki	mk
mlwiki	ml
mniwiki	mni
mnwiki	mn
mnwwiki	mnw
moswiki	mos
mrjwiki	mrj
mrwiki	mr
mswiki	ms
mtwiki	mt
muswiki	mus
mwlwiki	mwl
myvwiki	myv
mywiki	my
mznwiki	mzn
nahwiki	nah
napwiki	nap
nawiki	na
nds_nlwiki	nds-nl
ndswiki	nds
newiki	ne
newwiki	new
ngwiki	ng
niawiki	nia
nlwiki	nl
nnwiki	nn
novwiki	nov
nowiki	no
nqowiki	nqo
nrmwiki	nrm
nrwiki	nr
nsowiki	nso
nvwiki	nv
nywiki	ny
ocwiki	oc
olowiki	olo
omwiki	om
orwiki	or
oswiki	os
pagwiki	pag
pamwiki	pam
papwiki	pap
pawiki	pa
pcdwiki	pcd
pcmwiki	pcm
pdcwiki	pdc
pflwiki	pfl
pihwiki	pih
piwiki	pi
plwiki	pl
pmswiki	pms
pnbwiki	pnb
pntwiki	pnt
pswiki	ps
ptwiki	pt
pwnwiki	pwn
quwiki	qu
rmwiki	rm
rmywiki	rmy
rnwiki	rn
roa_rupwiki	rup
roa_tarawiki	roa-tara
rowiki	ro
rskwiki	rsk
ruewiki	rue
ruwiki	ru
rwwiki	rw
sahwiki	sah
satwiki	sat
sawiki	sa
scnwiki	scn
scowiki	sco
scwiki	sc
sdwiki	sd
sewiki	se
sgwiki	sg
shiwiki	shi
shnwiki	shn
shwiki	sh
simplewiki	simple
siwiki	si
skrwiki	skr
skwiki	sk
slwiki	sl
smnwiki	smn
smwiki	sm
snwiki	sn
sowiki	so
sqwiki	sq
srnwiki	srn
srwiki	sr
sswiki	ss
stqwiki	stq
stwiki	st
suwiki	su
svwiki	sv
swwiki	sw
sylwiki	syl
szlwiki	szl
szywiki	szy
tawiki	ta
taywiki	tay
tcywiki	tcy
tddwiki	tdd
tetwiki	tet
tewiki	te
tgwiki	tg
thwiki	th
tigwiki	tig
tiwiki	ti
tkwiki	tk
tlwiki	tl
tlywiki	tly
tnwiki	tn
towiki	to
tpiwiki	tpi
trvwiki	trv
trwiki	tr
tswiki	ts
ttwiki	tt
tumwiki	tum
twwiki	tw
tyvwiki	tyv
tywiki	ty
udmwiki	udm
ugwiki	ug
ukwiki	uk
urwiki	ur
uzwiki	uz
vecwiki	vec
vepwiki	vep
vewiki	ve
viwiki	vi
vlswiki	vls
vowiki	vo
warwiki	war
wawiki	wa
wowiki	wo
wuuwiki	wuu
xalwiki	xal
xhwiki	xh
xmfwiki	xmf
yiwiki	yi
yowiki	yo
zawiki	za
zeawiki	zea
zghwiki	zgh
zh_classicalwiki	lzh
zh_min_nanwiki	nan
zh_yuewiki	yue
zhwiki	zh
zuwiki	zu
